,Persentase Partisipasi,Persentase Suara sah,Persentase Suara Tidak Sah,cluster,nama_kecamatan
139,0.24918727628844572,0.3818707091106983,0.12541166028045664,2,SINTANG
140,0.377974706938369,0.41295443879041827,0.03997913409089353,1,SOKAN
141,0.4890410866388728,0.5180561323051167,0.05561480039319627,1,SOMPAK
142,0.1761180022217278,0.35186141370362645,0.16714662540476666,2,SUBAH
143,0.2640900219976625,0.3681919494633519,0.13315398385325466,2,SUHAID
144,0.2379242727655959,0.25223712851626434,0.3745184226460547,0,SUKADANA
145,0.25156970535879797,0.5039799279409669,0.13721752848041874,2,SUNGAI AMBAWANG
146,0.11878538605943412,0.3496585878240346,0.17173189183569026,2,SUNGAI BETUNG
147,0.25414009323387865,0.3248212679621849,0.294876119805557,0,SUNGAI KAKAP
148,0.22495424462255365,0.3003247907080455,0.2744220959285659,0,SUNGAI KUNYIT
149,0.25190891804315685,0.29952790873877433,0.2911804606489209,0,SUNGAI LAUR
150,0.189157315820059,0.33436476103355695,0.2035665829033435,2,SUNGAI MELAYU RAYAK
151,0.10431021154274389,0.33789828183886517,0.19621142334599,0,SUNGAI PINYUH
152,0.20255114769621985,0.3600762222940821,0.15911529910793815,2,SUNGAI RAYA
153,0.0009298506880487389,0.3251890794159058,0.2226661192021363,0,SUNGAI RAYA KEPULAUAN
154,0.29957785311489693,0.375993733545239,0.11691426942418222,2,SUNGAI TEBELIAN
155,0.07332272491680758,0.3531726760627585,0.16441718167575498,0,SUTI SEMARANG
156,0.917826899042179,0.36383978997867583,0.1422131718023631,4,TANAH PINOH
157,0.07239779185228123,0.6043159417837902,0.19734039911204987,2,TANGARAN
158,0.21074459791085554,0.4014008053751743,0.06402846794265163,2,TAYAN HILIR
159,0.1866792662665847,0.35706454074438376,0.1522663610511672,2,TAYAN HULU
160,0.10407725314629113,0.2749173098565816,0.2216838281790442,0,TEBAS
161,0.04501775349674553,0.28582569447981854,0.30460252523572157,0,TEKARANG
162,0.19415252838473418,0.1973170707744858,0.48883664388037845,0,TELUK BATANG
163,0.07779213013244834,0.36117167669144656,0.38072436418164207,0,TELUK KERAMAT
164,0.3208086672792052,0.30276615181905964,0.2693403085987548,0,TELUK PAKEDAI
165,0.28154236817286016,0.3993404206650304,0.06831723817884973,2,TEMPUNAK
166,0.11855094408102629,0.4535966226015562,0.19885450035782837,2,TERENTANG
167,0.1859481608790544,0.38026286743684956,0.1080279026944063,2,TERIAK
168,0.19355315733599288,0.3987494486831755,0.06954736918535416,2,TOBA
169,0.04589868977178124,0.3689086920988158,0.1316620561328708,2,TOHO
170,0.15598562977355634,0.3373467856338985,0.1973593844791644,0,TUJUH BELAS
171,0.2733543665247502,0.32799346966396037,0.21682867306234826,2,TUMBANG TITI
